wav_path,label,speaker
British_English_Speech_Data/G00600/G00600S1115.wav,british,G00600
Korean_Speaking_English_Speech_Data/G00025/G00025S1068.wav,korean,G00025
Indian_English_Speech_Data/G0760/G0760S1091.wav,indian,G0760
American_English_Speech_Data/G00007/G00007S2264.wav,american,G00007
British_English_Speech_Data/G10261/G10261S2318.wav,british,G10261
American_English_Speech_Data/G30201/G30201S1177.wav,american,G30201
British_English_Speech_Data/G00808/G00808S1147.wav,british,G00808
Japanese_Speaking_English_Speech_Data/G00125/G00125S1235.wav,japanese,G00125
Indian_English_Speech_Data/G00892/G00892S1153.wav,indian,G00892
Russian_Speaking_English_Speech_Data/G10416/G10416S2406.wav,russian,G10416
Chinese_Speaking_English_Speech_Data/G00992/G00992S4375.wav,chinese,G00992
Chinese_Speaking_English_Speech_Data/G00992/G00992S4346.wav,chinese,G00992
American_English_Speech_Data/G20939/G20939S1077.wav,american,G20939
Russian_Speaking_English_Speech_Data/G10416/G10416S2325.wav,russian,G10416
Chinese_Speaking_English_Speech_Data/G00190/G00190S2263.wav,chinese,G00190
Portuguese_Speaking_English_Speech_Data/G00643/G00643S2409.wav,portuguese,G00643
Russian_Speaking_English_Speech_Data/G00439/G00439S2402.wav,russian,G00439
Korean_Speaking_English_Speech_Data/G00025/G00025S3430.wav,korean,G00025
British_English_Speech_Data/G00025/G00025S2352.wav,british,G00025
American_English_Speech_Data/G30201/G30201S2348.wav,american,G30201
Indian_English_Speech_Data/G0760/G0760S1200.wav,indian,G0760
Chinese_Speaking_English_Speech_Data/G01372/G01372S1280.wav,chinese,G01372
Japanese_Speaking_English_Speech_Data/G00354/G00354S1104.wav,japanese,G00354
British_English_Speech_Data/G00025/G00025S2348.wav,british,G00025
Japanese_Speaking_English_Speech_Data/G00040/G00040S2300.wav,japanese,G00040
Chinese_Speaking_English_Speech_Data/G00992/G00992S1103.wav,chinese,G00992
Russian_Speaking_English_Speech_Data/G00196/G00196S1034.wav,russian,G00196
Indian_English_Speech_Data/G0760/G0760S2305.wav,indian,G0760
British_English_Speech_Data/G40517/G40517S5446.wav,british,G40517
Korean_Speaking_English_Speech_Data/G10122/G10122S1181.wav,korean,G10122
Korean_Speaking_English_Speech_Data/G00022/G00022S1132.wav,korean,G00022
British_English_Speech_Data/G00025/G00025S4423.wav,british,G00025
American_English_Speech_Data/G10948/G10948S1201.wav,american,G10948
Korean_Speaking_English_Speech_Data/G10122/G10122S1099.wav,korean,G10122
